"Chr" "POS" "LG" "sex" "cM"
"1" "NW_019211454.1" 17375864 NA "male_position" 0
"2" "NW_019211454.1" 17375864 NA "female_position" 0
"3" "NW_019211454.1" 17182906 NA "male_position" 0.848
"4" "NW_019211454.1" 17182906 NA "female_position" 0
"5" "NW_019211454.1" 26587557 NA "male_position" 6.808
"6" "NW_019211454.1" 26587557 NA "female_position" 4.247
"7" "NW_019211454.1" 72238776 NA "male_position" 6.808
"8" "NW_019211454.1" 72238776 NA "female_position" 11.935
"9" "NW_019211454.1" 1498463 NA "male_position" 6.808
"10" "NW_019211454.1" 1498463 NA "female_position" 15.33
"11" "NW_019211454.1" 49502730 NA "male_position" 6.808
"12" "NW_019211454.1" 49502730 NA "female_position" 22.151
"13" "NW_019211454.1" 72368586 NA "male_position" 6.808
"14" "NW_019211454.1" 72368586 NA "female_position" 28.973
"15" "NW_019211454.1" 33239743 NA "male_position" 6.808
"16" "NW_019211454.1" 33239743 NA "female_position" 33.22
"17" "NW_019211454.1" 16955562 NA "male_position" 6.808
"18" "NW_019211454.1" 16955562 NA "female_position" 38.323
"19" "NW_019211454.1" 16978900 NA "male_position" 7.655
"20" "NW_019211454.1" 16978900 NA "female_position" 40.018
"21" "NW_019211454.1" 15270261 NA "male_position" 22.482
"22" "NW_019211454.1" 15270261 NA "female_position" 45.121
"23" "NW_019211454.1" 67642464 NA "male_position" 27.584
"24" "NW_019211454.1" 67642464 NA "female_position" 51.942
"25" "NW_019211454.1" 65480118 NA "male_position" 27.584
"26" "NW_019211454.1" 65480118 NA "female_position" 56.19
"27" "NW_019211454.1" 63166787 NA "male_position" 28.432
"28" "NW_019211454.1" 63166787 NA "female_position" 58.735
"29" "NW_019211454.1" 2018179 NA "male_position" 28.432
"30" "NW_019211454.1" 2018179 NA "female_position" 64.695
"31" "NW_019211454.1" 415394 NA "male_position" 28.432
"32" "NW_019211454.1" 415394 NA "female_position" 73.252
"33" "NW_019211454.1" 521746 NA "male_position" 28.432
"34" "NW_019211454.1" 521746 NA "female_position" 83.565
"35" "NW_019211454.1" 53767 NA "male_position" 28.432
"36" "NW_019211454.1" 53767 NA "female_position" 86.96
"37" "NW_019211454.1" 13440103 NA "male_position" 28.432
"38" "NW_019211454.1" 13440103 NA "female_position" 99.957
"39" "NW_019211454.1" 56860132 NA "male_position" 42.339
"40" "NW_019211454.1" 56860132 NA "female_position" 105.06
"41" "NW_019211454.1" 24902934 NA "male_position" 42.339
"42" "NW_019211454.1" 24902934 NA "female_position" 111.02
"43" "NW_019211454.1" 59237424 NA "male_position" 59.035
"44" "NW_019211454.1" 59237424 NA "female_position" 118.707
"45" "NW_019211454.1" 30812477 NA "male_position" 59.035
"46" "NW_019211454.1" 30812477 NA "female_position" 122.954
"47" "NW_019211454.1" 30800532 NA "male_position" 63.282
"48" "NW_019211454.1" 30800532 NA "female_position" 125.499
"49" "NW_019211454.1" 30860688 NA "male_position" 75.377
"50" "NW_019211454.1" 30860688 NA "female_position" 130.601
"51" "NW_019211454.1" 57664112 NA "male_position" 86.578
"52" "NW_019211454.1" 57664112 NA "female_position" 142.696
"53" "NW_019211454.1" 20384299 NA "male_position" 86.578
"54" "NW_019211454.1" 20384299 NA "female_position" 151.253
"55" "NW_019211454.1" 13132920 NA "male_position" 86.578
"56" "NW_019211454.1" 13132920 NA "female_position" 159.811
"57" "NW_019211454.1" 42404311 NA "male_position" 86.578
"58" "NW_019211454.1" 42404311 NA "female_position" 164.913
"59" "NW_019211454.1" 18906639 NA "male_position" 86.578
"60" "NW_019211454.1" 18906639 NA "female_position" 173.47
"61" "NW_019211454.1" 53125502 NA "male_position" 86.578
"62" "NW_019211454.1" 53125502 NA "female_position" 180.292
"63" "NW_019211454.1" 73422532 NA "male_position" 86.578
"64" "NW_019211454.1" 73422532 NA "female_position" 186.252
"65" "NW_019211454.1" 64850267 NA "male_position" 86.578
"66" "NW_019211454.1" 64850267 NA "female_position" 194.809
"67" "NW_019211454.1" 3234641 NA "male_position" 86.578
"68" "NW_019211454.1" 3234641 NA "female_position" 200.77
"69" "NW_019211454.1" 20712376 NA "male_position" 86.578
"70" "NW_019211454.1" 20712376 NA "female_position" 210.202
"71" "NW_019211454.1" 67949156 NA "male_position" 86.578
"72" "NW_019211454.1" 67949156 NA "female_position" 216.162
"73" "NW_019211454.1" 67267159 NA "male_position" 86.578
"74" "NW_019211454.1" 67267159 NA "female_position" 225.595
"75" "NW_019211454.1" 58461103 NA "male_position" 86.578
"76" "NW_019211454.1" 58461103 NA "female_position" 231.555
"77" "NW_019211454.1" 21622773 NA "male_position" 86.578
"78" "NW_019211454.1" 21622773 NA "female_position" 234.95
"79" "NW_019211454.1" 14565934 NA "male_position" 86.578
"80" "NW_019211454.1" 14565934 NA "female_position" 242.637
"81" "NW_019211454.1" 10150460 NA "male_position" 86.578
"82" "NW_019211454.1" 10150460 NA "female_position" 250.324
"83" "NW_019211454.1" 64226717 NA "male_position" 86.578
"84" "NW_019211454.1" 64226717 NA "female_position" 256.284
"85" "NW_019211454.1" 5825506 NA "male_position" 86.578
"86" "NW_019211454.1" 5825506 NA "female_position" 261.387
"87" "NW_019211454.1" 17935236 NA "male_position" 86.578
"88" "NW_019211454.1" 17935236 NA "female_position" 267.347
"89" "NW_019211454.1" 24911054 NA "male_position" 86.578
"90" "NW_019211454.1" 24911054 NA "female_position" 272.449
"91" "NW_019211454.1" 41033969 NA "male_position" 86.578
"92" "NW_019211454.1" 41033969 NA "female_position" 276.697
"93" "NW_019211454.1" 52836467 NA "male_position" 86.578
"94" "NW_019211454.1" 52836467 NA "female_position" 280.944
"95" "NW_019211454.1" 23448960 NA "male_position" 86.578
"96" "NW_019211454.1" 23448960 NA "female_position" 287.766
"97" "NW_019211454.1" 39850757 NA "male_position" 86.578
"98" "NW_019211454.1" 39850757 NA "female_position" 293.726
"99" "NW_019211454.1" 48813343 NA "male_position" 86.578
"100" "NW_019211454.1" 48813343 NA "female_position" 303.159
"101" "NW_019211454.1" 54843161 NA "male_position" 86.578
"102" "NW_019211454.1" 54843161 NA "female_position" 308.261
"103" "NW_019211454.1" 10491211 NA "male_position" 86.578
"104" "NW_019211454.1" 10491211 NA "female_position" 314.221
"105" "NW_019211454.1" 384479 NA "male_position" 86.578
"106" "NW_019211454.1" 384479 NA "female_position" 320.182
"107" "NW_019211454.1" 69404882 NA "male_position" 86.578
"108" "NW_019211454.1" 69404882 NA "female_position" 323.577
"109" "NW_019211454.1" 39671687 NA "male_position" 86.578
"110" "NW_019211454.1" 39671687 NA "female_position" 330.398
"111" "NW_019211454.1" 3940575 NA "male_position" 86.578
"112" "NW_019211454.1" 3940575 NA "female_position" 338.085
"113" "NW_019211454.1" 12895348 NA "male_position" 87.425
"114" "NW_019211454.1" 12895348 NA "female_position" 342.333
"115" "NW_019211454.1" 47786354 NA "male_position" 99.52
"116" "NW_019211454.1" 47786354 NA "female_position" 346.58
"117" "NW_019211454.1" 34422387 NA "male_position" 99.52
"118" "NW_019211454.1" 34422387 NA "female_position" 349.975
"119" "NW_019211454.1" 74355663 NA "male_position" 109.834
"120" "NW_019211454.1" 74355663 NA "female_position" 356.797
"121" "NW_019211454.1" 56129168 NA "male_position" 109.834
