"Chr" "POS" "LG" "sex" "cM"
"1" "NW_019211454.1" 13271262 NA "male_position" 0
"2" "NW_019211454.1" 13271262 NA "female_position" 0
"3" "NW_019211454.1" 75917149 NA "male_position" 4.247
"4" "NW_019211454.1" 75917149 NA "female_position" 0
"5" "NW_019211454.1" 13314834 NA "male_position" 4.247
"6" "NW_019211454.1" 13314834 NA "female_position" 0
"7" "NW_019211454.1" 13345442 NA "male_position" 4.247
"8" "NW_019211454.1" 13345442 NA "female_position" 0
"9" "NW_019211454.1" 13347059 NA "male_position" 4.247
"10" "NW_019211454.1" 13347059 NA "female_position" 0
"11" "NW_019211454.1" 13322115 NA "male_position" 4.247
"12" "NW_019211454.1" 13322115 NA "female_position" 0
"13" "NW_019211454.1" 3941187 NA "male_position" 6.792
"14" "NW_019211454.1" 3941187 NA "female_position" 0
"15" "NW_019211454.1" 3940698 NA "male_position" 6.792
"16" "NW_019211454.1" 3940698 NA "female_position" 0
"17" "NW_019211454.1" 3941167 NA "male_position" 6.792
"18" "NW_019211454.1" 3941167 NA "female_position" 0
"19" "NW_019211454.1" 13353960 NA "male_position" 6.792
"20" "NW_019211454.1" 13353960 NA "female_position" 0
"21" "NW_019211454.1" 13351794 NA "male_position" 7.64
"22" "NW_019211454.1" 13351794 NA "female_position" 0
"23" "NW_019211454.1" 13426885 NA "male_position" 12.742
"24" "NW_019211454.1" 13426885 NA "female_position" 0
"25" "NW_019211454.1" 13426901 NA "male_position" 12.742
"26" "NW_019211454.1" 13426901 NA "female_position" 0
"27" "NW_019211454.1" 13419400 NA "male_position" 13.59
"28" "NW_019211454.1" 13419400 NA "female_position" 0
"29" "NW_019211454.1" 13467270 NA "male_position" 13.59
"30" "NW_019211454.1" 13467270 NA "female_position" 0
"31" "NW_019211454.1" 13426748 NA "male_position" 13.59
"32" "NW_019211454.1" 13426748 NA "female_position" 0
"33" "NW_019211454.1" 13419439 NA "male_position" 13.59
"34" "NW_019211454.1" 13419439 NA "female_position" 0
"35" "NW_019211454.1" 13421417 NA "male_position" 13.59
"36" "NW_019211454.1" 13421417 NA "female_position" 0
"37" "NW_019211454.1" 13415986 NA "male_position" 15.285
"38" "NW_019211454.1" 13415986 NA "female_position" 0
"39" "NW_019211454.1" 13474059 NA "male_position" 15.285
"40" "NW_019211454.1" 13474059 NA "female_position" 0
"41" "NW_019211454.1" 13430457 NA "male_position" 15.285
