"Chr" "POS" "LG" "sex" "cM"
"1" "NW_019211454.1" 13271262 "1" "male_position" 0
"2" "NW_019211454.1" 13271262 "1" "female_position" 0
"3" "NW_019211454.1" 13345442 "1" "male_position" 0
"4" "NW_019211454.1" 13345442 "1" "female_position" 4.247
"5" "NW_019211454.1" 13314834 "1" "male_position" 0
"6" "NW_019211454.1" 13314834 "1" "female_position" 4.247
"7" "NW_019211454.1" 13347059 "1" "male_position" 0
"8" "NW_019211454.1" 13347059 "1" "female_position" 4.247
"9" "NW_019211454.1" 13322115 "1" "male_position" 0
"10" "NW_019211454.1" 13322115 "1" "female_position" 4.247
"11" "NW_019211454.1" 13353960 "1" "male_position" 0
"12" "NW_019211454.1" 13353960 "1" "female_position" 6.792
"13" "NW_019211454.1" 13351794 "1" "male_position" 0
"14" "NW_019211454.1" 13351794 "1" "female_position" 7.64
"15" "NW_019211454.1" 13426885 "1" "male_position" 0
"16" "NW_019211454.1" 13426885 "1" "female_position" 12.742
"17" "NW_019211454.1" 13426901 "1" "male_position" 0
"18" "NW_019211454.1" 13426901 "1" "female_position" 12.742
"19" "NW_019211454.1" 13467270 "1" "male_position" 0
"20" "NW_019211454.1" 13467270 "1" "female_position" 13.59
"21" "NW_019211454.1" 13426748 "1" "male_position" 0
"22" "NW_019211454.1" 13426748 "1" "female_position" 13.59
"23" "NW_019211454.1" 13419439 "1" "male_position" 0
"24" "NW_019211454.1" 13419439 "1" "female_position" 13.59
"25" "NW_019211454.1" 13421417 "1" "male_position" 0
"26" "NW_019211454.1" 13421417 "1" "female_position" 13.59
"27" "NW_019211454.1" 13419400 "1" "male_position" 0
"28" "NW_019211454.1" 13419400 "1" "female_position" 13.59
"29" "NW_019211454.1" 13404628 "1" "male_position" 0
"30" "NW_019211454.1" 13404628 "1" "female_position" 14.437
"31" "NW_019211454.1" 13381177 "1" "male_position" 0
"32" "NW_019211454.1" 13381177 "1" "female_position" 14.437
"33" "NW_019211454.1" 13425615 "1" "male_position" 0
"34" "NW_019211454.1" 13425615 "1" "female_position" 14.437
"35" "NW_019211454.1" 13413908 "1" "male_position" 0
"36" "NW_019211454.1" 13413908 "1" "female_position" 14.437
"37" "NW_019211454.1" 13384611 "1" "male_position" 0
"38" "NW_019211454.1" 13384611 "1" "female_position" 14.437
